                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62402,                0.06667,                0.13333,                0.63525,             0.00013566,             0.00013566,             0.00013566
                      2,                0.47657,                0.06667,                0.26667,                0.63281,             0.00027754,             0.00027754,             0.00027754
                      3,                0.28203,                0.06667,                0.13333,                0.63965,             0.00041848,             0.00041848,             0.00041848
                      4,                0.14583,                0.06667,                    0.2,                0.63965,             0.00055848,             0.00055848,             0.00055848
                      5,                 0.0645,                0.06667,                0.13333,                 0.6416,             0.00069753,             0.00069753,             0.00069753
                      6,                0.02865,                0.06667,                0.13333,                 0.6416,             0.00070222,             0.00070222,             0.00070222
                      7,                0.01269,                0.06667,                0.13333,                0.64209,             0.00070222,             0.00070222,             0.00070222
                      8,                0.00815,                0.06667,                0.13333,                0.64209,             0.00069986,             0.00069986,             0.00069986
                      9,                 0.0067,                0.06667,                0.13333,                0.64209,             0.00069751,             0.00069751,             0.00069751
                     10,                0.01083,                0.06667,                0.13333,                0.64209,             0.00069515,             0.00069515,             0.00069515
                     11,                0.00511,                0.06667,                0.13333,                0.64209,             0.00069279,             0.00069279,             0.00069279
                     12,                0.00368,                0.06667,                0.13333,                0.64209,             0.00069044,             0.00069044,             0.00069044
                     13,                0.00576,                0.06667,                0.13333,                0.64209,             0.00068808,             0.00068808,             0.00068808
                     14,                0.00314,                0.06667,                0.13333,                0.64258,             0.00068573,             0.00068573,             0.00068573
                     15,                 0.0041,                0.06667,                    0.2,                0.64209,             0.00068337,             0.00068337,             0.00068337
                     16,                0.00432,                0.06667,                    0.2,                0.64209,             0.00068101,             0.00068101,             0.00068101
                     17,                0.00249,                0.06667,                    0.2,                0.64209,             0.00067866,             0.00067866,             0.00067866
                     18,                 0.0029,                0.06667,                0.13333,                0.64209,              0.0006763,              0.0006763,              0.0006763
                     19,                0.00225,                0.06667,                0.13333,                0.64209,             0.00067394,             0.00067394,             0.00067394
                     20,                0.00211,                0.06667,                0.13333,                0.64209,             0.00067159,             0.00067159,             0.00067159
                     21,                  0.004,                0.06667,                0.13333,                0.64209,             0.00066923,             0.00066923,             0.00066923
                     22,                0.00294,                0.06667,                    0.2,                0.64209,             0.00066688,             0.00066688,             0.00066688
                     23,                0.00233,                0.06667,                    0.2,                0.64209,             0.00066452,             0.00066452,             0.00066452
                     24,                0.00203,                0.06667,                    0.2,                0.64209,             0.00066216,             0.00066216,             0.00066216
                     25,                0.00228,                0.06667,                    0.2,                0.64258,             0.00065981,             0.00065981,             0.00065981
                     26,                0.00161,                0.06667,                    0.2,                0.64209,             0.00065745,             0.00065745,             0.00065745
                     27,                  0.002,                0.06667,                    0.2,                0.64258,             0.00065509,             0.00065509,             0.00065509
                     28,                0.00155,                0.06667,                0.13333,                0.64258,             0.00065274,             0.00065274,             0.00065274
                     29,                0.00177,                0.06667,                0.13333,                0.64258,             0.00065038,             0.00065038,             0.00065038
                     30,                0.00152,                0.06667,                    0.2,                0.64209,             0.00064803,             0.00064803,             0.00064803
                     31,                0.00188,                0.06667,                    0.2,                0.64258,             0.00064567,             0.00064567,             0.00064567
                     32,                0.00178,                0.06667,                0.13333,                0.64258,             0.00064331,             0.00064331,             0.00064331
                     33,                0.00149,                0.06667,                0.13333,                0.64258,             0.00064096,             0.00064096,             0.00064096
                     34,                0.00176,                0.06667,                0.13333,                0.64258,              0.0006386,              0.0006386,              0.0006386
                     35,                0.00182,                0.06667,                0.13333,                0.64258,             0.00063625,             0.00063625,             0.00063625
                     36,                0.00209,                0.06667,                0.13333,                0.64258,             0.00063389,             0.00063389,             0.00063389
                     37,                0.00104,                0.06667,                0.13333,                0.64258,             0.00063153,             0.00063153,             0.00063153
                     38,                0.00177,                0.06667,                0.13333,                0.64209,             0.00062918,             0.00062918,             0.00062918
                     39,                0.00216,                0.06667,                0.13333,                0.64258,             0.00062682,             0.00062682,             0.00062682
                     40,                0.00218,                0.06667,                0.13333,                0.64209,             0.00062446,             0.00062446,             0.00062446
                     41,                0.00127,                0.06667,                0.13333,                0.64209,             0.00062211,             0.00062211,             0.00062211
                     42,                0.00126,                0.06667,                0.13333,                0.64209,             0.00061975,             0.00061975,             0.00061975
                     43,                0.00295,                0.06667,                0.13333,                0.64209,              0.0006174,              0.0006174,              0.0006174
                     44,                0.00189,                0.06667,                0.13333,                0.64404,             0.00061504,             0.00061504,             0.00061504
                     45,                0.00309,                0.06667,                0.13333,                0.64355,             0.00061268,             0.00061268,             0.00061268
                     46,                0.00171,                0.06667,                0.13333,                0.64258,             0.00061033,             0.00061033,             0.00061033
                     47,                0.00177,                0.06667,                    0.2,                0.64258,             0.00060797,             0.00060797,             0.00060797
                     48,                 0.0012,                0.06667,                    0.2,                0.64258,             0.00060561,             0.00060561,             0.00060561
                     49,                0.00183,                0.06667,                    0.2,                0.64209,             0.00060326,             0.00060326,             0.00060326
                     50,                0.00116,                0.06667,                    0.2,                0.64209,              0.0006009,              0.0006009,              0.0006009
                     51,                0.00157,                0.06667,                    0.2,                0.64209,             0.00059855,             0.00059855,             0.00059855
                     52,                0.00142,                0.06667,                0.13333,                0.64209,             0.00059619,             0.00059619,             0.00059619
