                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3798,                 5.1113,                 1.4651,                 2.4281,                 6.4778,                 1.3057,                0.11153,                0.14667,                0.11439,                0.07755,                 2.1292,                 4.6204,                 1.6089,                 2.1778,                 7.0923,                 1.5215,               6.25e-06,               6.25e-06,               6.25e-06
                      2,                 2.3362,                 5.0591,                 1.4404,                 2.3043,                 6.3944,                 1.2976,                0.10588,                0.14667,                0.11385,                  0.074,                  2.107,                 4.5127,                 1.5927,                 2.1675,                 6.9997,                 1.4642,             1.8464e-05,             1.8464e-05,             1.8464e-05
                      3,                 2.4286,                 4.9568,                 1.5799,                 2.3203,                 6.4912,                 1.3694,                0.13501,                0.14667,                0.14036,                0.08808,                 2.0318,                 4.3034,                 1.5394,                 2.1503,                 6.8361,                 1.4544,             3.0298e-05,             3.0298e-05,             3.0298e-05
                      4,                 2.1101,                 4.6918,                 1.3854,                  2.239,                 6.6178,                  1.306,                0.13514,                0.14667,                0.14043,                0.09445,                 1.9319,                 4.0036,                  1.473,                 2.0368,                 6.6624,                 1.4182,             4.1751e-05,             4.1751e-05,             4.1751e-05
                      5,                 2.0286,                 4.1948,                 1.4122,                 2.1564,                 6.1338,                 1.2962,                0.10318,                0.14667,                0.13036,                  0.086,                 1.7898,                 3.6065,                 1.4011,                 1.9563,                 6.2808,                 1.3971,             5.2823e-05,             5.2823e-05,             5.2823e-05
                      6,                 1.7248,                  3.768,                 1.2987,                 1.9274,                 6.9405,                 1.2568,                0.13119,                0.27649,                0.16822,                0.08861,                 1.6508,                 2.5806,                  1.293,                 1.8369,                 5.4843,                 1.2927,             6.3514e-05,             6.3514e-05,             6.3514e-05
                      7,                 1.7154,                 2.8205,                 1.1095,                 1.9719,                 4.8441,                  1.091,                0.83625,                0.14127,                0.18805,                0.09603,                 1.6491,                 3.3028,                 1.2329,                 1.8232,                 4.9195,                 1.2623,             7.3825e-05,             7.3825e-05,             7.3825e-05
                      8,                 1.8317,                 2.5355,                 1.2813,                 1.9934,                 5.1858,                 1.2212,                0.06641,                0.18737,                0.17655,                 0.1031,                  1.593,                 3.2964,                 1.1924,                 1.8724,                 4.9851,                 1.2642,             8.3755e-05,             8.3755e-05,             8.3755e-05
                      9,                 1.7304,                 2.5281,                 1.1297,                 2.1735,                 4.2779,                 1.1065,                0.93033,                0.09474,                0.20964,                0.11525,                 1.6281,                 2.9049,                 1.1969,                 1.8383,                 5.1085,                 1.2707,             9.3304e-05,             9.3304e-05,             9.3304e-05
                     10,                 1.6902,                 2.1449,                 1.1052,                 1.9277,                 3.8669,                 1.0786,                0.97133,                0.09474,                0.16654,                0.08273,                  1.701,                 2.7133,                  1.224,                 1.8542,                 5.2612,                 1.2402,             0.00010247,             0.00010247,             0.00010247
